product_name,production_date,expiry_date,price_fresh (EGP),price_before_5_months (EGP),price_before_3_months (EGP)
Lotus Cake,9/4/2024,7/31/2025,39.63,31.57,28.73
Chocolates,3/5/2024,1/29/2025,49.82,40.02,35.62
Dulce De Leche Cake,5/18/2024,12/14/2024,44.17,36.4,26.6
Om Ali,1/16/2024,10/12/2024,35.27,26.56,24.43
Mahshi Zucchini with Rice,12/22/2024,12/17/2025,35.74,28.89,26.27
Mahalabia,11/28/2024,5/27/2025,20.08,16.59,13.35
Chocolate Covered Baklava,10/14/2024,10/9/2025,29.76,23.42,21.33
Fried Kunafa with Nutella,4/18/2024,4/13/2025,12.67,9.62,7.61
Tiramisu,10/12/2024,10/7/2025,42.35,32.56,25.66
Khoshaf with Dates,9/1/2024,3/30/2025,42.48,34.14,26.41
Ghorayeba,12/1/2024,6/29/2025,36.47,28.91,25.36
Mahshi Gourd with Feta Cheese,9/27/2024,6/24/2025,41.18,32.06,29.65
Cinnamon Cake,8/10/2024,4/7/2025,17.57,14.75,11.6
Cream Caramel,7/24/2024,2/19/2025,17.95,14.67,12.1
Fudge Brownies,3/28/2024,2/21/2025,45.37,38.29,32.66
Coconut Balls,4/1/2024,9/28/2024,41.14,31.64,25.61
Baklava,10/4/2024,9/29/2025,24.4,19.59,15
Atayef,4/4/2024,3/30/2025,22.46,18.88,14.9
Rice Pudding,3/8/2024,12/3/2024,32.51,25.97,19.93
Carrot Cake,7/28/2024,4/24/2025,12.68,10.13,9.24
Stuffed Dates with Walnuts,9/1/2024,5/29/2025,32.66,27.33,19.92
